name,height,weight,reach,stance,DOB,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg
Akira Corassani,"5' 8""",145 lbs.,"68""",Orthodox,27-Aug-82,3.25,0.45,4.91,0.5,0.7,0.28,0.86,0
Chris Cope,"6' 0""",170 lbs.,"72""",Orthodox,5-Mar-83,3.96,0.26,4.82,0.5,0,0,0.8,0
Muhsin Corbbrey,"5' 10""",155 lbs.,,Orthodox,18-May-78,2.02,0.34,5.41,0.53,0,0,0.8,0.4
Daniel Cormier,"5' 11""",235 lbs.,"72""",Orthodox,20-Mar-79,4.25,0.52,2.92,0.54,1.83,0.44,0.8,0.4
Clint Coronel,,155 lbs.,,,,4.93,0.32,5.6,0.66,0,0,0.66,0
Wesley Correira,"6' 3""",260 lbs.,,Orthodox,11-Nov-78,2.6,0.36,8.8,0.4,0,0,0.9,0
Henry Corrales,"5' 9""",145 lbs.,,,,4.12,0.41,5.84,0.55,0,0,0.69,0
Bethe Correia,"5' 5""",135 lbs.,"64""",Orthodox,22-Jun-83,4.39,0.44,4.56,0.58,0.44,0.2,0.84,0
Chad Corvin,"6' 5""",255 lbs.,,,,0,0,0,0,0,0,0,0
Louis Cosce,"5' 9""",170 lbs.,"71""",Orthodox,27-Aug-95,8.22,0.48,9.3,0.48,1.07,0.11,0,0
Tracy Cortez,"5' 5""",135 lbs.,"65""",Orthodox,10-Dec-93,3.67,0.53,1.98,0.62,3,0.42,0.85,0
Orion Cosce,"5' 11""",170 lbs.,"71""",Switch,15-Jul-94,4.56,0.62,1.97,0.56,1.02,1,0.7,0
Guilherme Costa,,155 lbs.,,,,0,0,0,0,0,0,0,0
Jadson Costa,"5' 7""",155 lbs.,,Orthodox,,0.2,0.5,3.05,0.5,0,0,0,0
Miguel Cosio,"6' 4""",205 lbs.,,,,0,0,0,0,0,0,0,0
Randy Costa,"5' 9""",135 lbs.,"73""",Switch,6-Jul-94,7.88,0.47,5.26,0.58,0,0,1,0
Paulo Costa,"6' 1""",185 lbs.,"72""",Orthodox,21-Apr-91,7.03,0.57,6.7,0.5,0,0,0.8,0
Oscar Cota,"6' 0""",230 lbs.,"72""",Orthodox,15-Oct-84,0.33,0.41,2.47,0.41,0,0,0.6,1
Patrick Cote,"5' 11""",170 lbs.,"75""",Orthodox,29-Feb-80,2.81,0.48,3.21,0.48,0.68,0.2,0.43,0.2
JC Cottrell,"5' 9""",155 lbs.,,Orthodox,4-Nov-89,0.79,0.25,2.75,0.45,0.79,1,0.5,0
Rashad Coulter,"5' 11""",205 lbs.,"76""",Orthodox,27-Nov-81,4.82,0.56,6.68,0.5,0,0,0.62,0
JR Coughran,"5' 6""",145 lbs.,,Orthodox,17-May-94,12.29,0.57,6.8,0.45,0,0,0.75,0
Dave Courchaine,"5' 8""",170 lbs.,,,,0,0,0,0,0,0,0,0
Kim Couture,"5' 8""",135 lbs.,,Orthodox,18-Dec-75,12.12,0.8,2.31,0.69,0,0,0,0
Ryan Couture,"5' 10""",155 lbs.,"73""",Orthodox,27-Aug-82,3.54,0.45,2.87,0.54,1.55,0.29,0.46,1.3
Nikk Covert,"5' 8""",185 lbs.,,,4-Aug-69,0,0,0,0,0,0,0,0
Colby Covington,"5' 11""",170 lbs.,"72""",Orthodox,22-Feb-88,4.12,0.38,2.86,0.55,4.61,0.5,0.75,0.1
Jeff Cox,"5' 10""",155 lbs.,,Orthodox,2-Aug-68,0.56,0.25,1.69,0.33,4.23,0.5,0.8,0
Nathan Coy,"5' 10""",170 lbs.,"69""",Southpaw,24-Jul-78,3.88,0.52,2.4,0.61,3.17,0.47,0.5,0
Andrew Craig,"6' 1""",170 lbs.,"76""",Orthodox,15-Jan-86,2.39,0.4,3.01,0.5,0.53,0.37,0.72,0
Paul Craig,"6' 3""",205 lbs.,"76""",Orthodox,27-Nov-87,2.4,0.49,2.43,0.49,2.11,0.26,0.55,1.5
Dan Cramer,"6' 2""",170 lbs.,,Orthodox,31-Oct-85,0.97,0.3,2.1,0.31,0,0,0.66,0.5
Alberto Crane,"5' 5""",155 lbs.,,Orthodox,14-Jul-76,0.43,0.25,2.61,0.57,0,0,0.5,4
Alexander Crispim,,145 lbs.,,,,0,0,0,0,0,0,0,0
Paul Creighton,"5' 6""",155 lbs.,,Southpaw,4-Jun-70,0.72,0.75,4.65,0.3,5.37,0.37,0,0
Tim Credeur,"6' 3""",185 lbs.,"75""",Orthodox,9-Jul-77,3.59,0.3,3.13,0.57,0.41,1,0.5,3.3
Alex Crispin,,155 lbs.,,,,0,0,0,0,0,0,0,0
Randy Couture,"6' 1""",205 lbs.,"75""",Orthodox,22-Jun-63,2.85,0.57,1.53,0.59,2.78,0.46,0.58,0.5
Kevin Croom,"5' 11""",155 lbs.,"73""",Orthodox,15-Jul-87,1.35,0.36,3.22,0.31,0.97,0.06,0.5,1
Ken Cross,"6' 0""",155 lbs.,"72""",Southpaw,4-Oct-94,2.2,0.57,1.4,0.55,1,0.12,0.66,0
Jeff Crotty,,155 lbs.,,,,0.93,0.35,3.33,0.54,5,0.38,0,1
Richard Crunkilton,"5' 7""",155 lbs.,,Orthodox,25-Nov-79,1.72,0.41,1.45,0.58,4.08,0.61,0.65,1.3
Marcio Cruz,"6' 4""",232 lbs.,,Orthodox,24-Apr-78,2.92,0.46,1.51,0.68,0.53,0.07,0.37,1.6
Jimmy Crute,"6' 2""",205 lbs.,"74""",Orthodox,4-Mar-96,4.36,0.57,2.31,0.54,4.33,0.75,0.6,2.4
Dominick Cruz,"5' 8""",135 lbs.,"68""",Orthodox,9-Mar-85,3.65,0.32,2.42,0.72,2.99,0.46,0.83,0.1
Aalon Cruz,"6' 0""",145 lbs.,"78""",Switch,20-Sep-89,7.58,0.39,8.88,0.58,0,0,0,0
Jay Cucciniello,"5' 7""",155 lbs.,,Orthodox,23-Jul-86,0.93,0.21,4.73,0.36,0,0,0.71,0
Chris Culley,,145 lbs.,,,25-Mar-86,0,0,0,0,0,0,0,0
Abel Cullum,"5' 7""",139 lbs.,,Orthodox,21-Apr-87,1.82,0.4,1.23,0.46,4.01,0.52,0,2.8
Everett Cummings,,205 lbs.,,,,0.43,0.6,4.34,0.45,0,0,0,2.2
Luke Cummo,"6' 0""",170 lbs.,"74""",Orthodox,27-Apr-80,1.74,0.43,1.5,0.59,0.89,0.55,0.42,1.4
Alton Cunningham,"6' 2""",205 lbs.,"77""",Orthodox,24-Jun-93,3.33,0.75,4.94,0.2,1.67,0.1,1,0
Allen Crowder,"6' 3""",245 lbs.,"76""",Orthodox,8-Nov-89,2.95,0.51,2.95,0.56,1.85,0.33,1,1.2
Josh Culibao,"5' 10""",155 lbs.,"73""",Orthodox,24-May-94,2.52,0.38,4.3,0.48,0,0,1,0
Patrick Cummins,"6' 2""",205 lbs.,"76""",Orthodox,16-Nov-80,4.26,0.5,3.35,0.55,4.49,0.41,0.28,0.1
Larry Cureton,"6' 2""",240 lbs.,,Orthodox,,0,0,0,0,0,0,0,0
Kailin Curran,"5' 4""",115 lbs.,"65""",Orthodox,11-Apr-91,3.89,0.43,4.75,0.53,2,0.57,0.61,0.6
Jeff Curran,"5' 6""",135 lbs.,"69""",Orthodox,2-Sep-77,1.54,0.31,2.48,0.6,0.35,0.12,0.35,1.2
Chris Curtis,"5' 10""",170 lbs.,,Orthodox,15-Jul-87,7.23,0.7,5.34,0.6,0,0,0,0
Pat Curran,"5' 9""",145 lbs.,,,31-Aug-87,4.7,0.58,4.4,0.63,2.5,0.62,0.66,0
Daron Cruickshank,"5' 8""",155 lbs.,"72""",Switch,11-Jun-85,2.88,0.38,2.98,0.57,2.04,0.41,0.6,0.2
Ion Cutelaba,"6' 1""",205 lbs.,"75""",Southpaw,14-Dec-93,5.1,0.39,3.37,0.48,2.41,0.71,0.8,0
Marcos da Matta,"5' 4""",145 lbs.,,,18-Mar-73,0,0,0,0,0,0,0,0
Gleidson Cutis,"5' 9""",155 lbs.,,Orthodox,7-Feb-89,2.99,0.52,8.28,0.59,0,0,0,0
Henrique da Silva,"6' 3""",205 lbs.,"76""",Orthodox,1-Sep-89,3.89,0.6,5.28,0.4,0.25,0.14,0.22,0.2
Sarah D'alelio,"5' 7""",145 lbs.,,,13-Dec-80,2.4,0.33,0,1,0,0,1,0
Alex Da Silva,"5' 8""",155 lbs.,"73""",Orthodox,4-Feb-96,2.07,0.46,2.65,0.55,2.75,0.43,0.77,0.4
Zak Cummings,"6' 0""",185 lbs.,"75""",Southpaw,2-Aug-84,2.58,0.32,2.83,0.55,0.68,0.28,0.65,0.7
Henrique Da Silva Lopes,"6' 3""",240 lbs.,,,8-Mar-85,0,0,0,0,0,0,0,0
Nicolas Dalby,"5' 11""",170 lbs.,"74""",Orthodox,16-Nov-84,3.2,0.37,3.57,0.55,1.45,0.33,0.63,0
Paul Daley,"5' 9""",170 lbs.,"76""",Orthodox,21-Feb-83,3.14,0.47,2.37,0.6,0.91,0.4,0.64,0
Dave Dalgliesh,"6' 2""",205 lbs.,,Orthodox,5-Apr-78,0,0,1.85,0.5,0,0,0,0
Richard Dalton,"6' 1""",205 lbs.,,Orthodox,,1.2,0.69,3.27,0.25,1,0.11,0,0
Marko Damiani,"6' 0""",170 lbs.,,,,0,0,0,0,0,0,0,0
Aisling Daly,"5' 2""",115 lbs.,"64""",Orthodox,24-Dec-87,2.92,0.52,1.4,0.55,2.15,0.41,0.33,0.9
Carina Damm,"5' 4""",135 lbs.,,,,0,0,0,0,0,0,0,0
Rodrigo Damm,"5' 7""",155 lbs.,"71""",Orthodox,3-Feb-80,3.5,0.36,5.61,0.57,0.44,0.16,0.8,0.3
Cindy Dandois,"5' 7""",135 lbs.,,Orthodox,26-Oct-84,3.13,0.32,3.4,0.58,5,0.55,0,0
Marques Daniels,,155 lbs.,,,,0,0,0,0,0,0,0,0
Jarjis Danho,"6' 3""",265 lbs.,"74""",Orthodox,15-Oct-83,3.39,0.48,5.77,0.47,0.57,0.2,1,0
Alexandre Dantas,"6' 2""",238 lbs.,,Orthodox,1-Mar-79,0.21,0.25,1.87,0.6,0,0,0,3.1
Raymond Daniels,"6' 2""",185 lbs.,,Southpaw,,0,0,2.61,0.38,0,0,0.33,3
Mac Danzig,"5' 8""",155 lbs.,"70""",Orthodox,2-Jan-80,3.39,0.48,3.44,0.57,1.2,0.37,0.46,0.6
Eduardo Dantas,"5' 10""",135 lbs.,,,3-Feb-89,3.33,0.6,3,0.6,4,0.23,1,0
Karen Darabedyan,"5' 7""",155 lbs.,"68""",Orthodox,18-Dec-86,3.43,0.51,2.62,0.67,2.14,0.75,0,0
Beneil Dariush,"5' 10""",155 lbs.,"72""",Southpaw,6-May-89,4,0.49,2.72,0.59,2.03,0.32,0.81,1
Sean Daugherty,"6' 0""",175 lbs.,,,4-Dec-75,0,0,0,0,0,0,0,0
Kyle Daukaus,"6' 3""",185 lbs.,"76""",Southpaw,27-Feb-93,3.69,0.59,2.16,0.42,2.33,0.41,0.94,1.7
Chris Daukaus,"6' 3""",250 lbs.,"76""",Orthodox,25-Sep-89,11.78,0.61,3.22,0.65,0,0,1,0
Brian Davidson,"5' 6""",145 lbs.,,,,0,0,0,0,0,0,0,0
Rick Davis,"5' 9""",155 lbs.,,Orthodox,,3.09,0.5,6.19,0.64,0,0,0,0
Marcus Davis,"5' 10""",170 lbs.,"70""",Southpaw,24-Aug-73,2.72,0.39,2.79,0.65,1.6,0.48,0.47,1.4
LC Davis,"5' 8""",135 lbs.,"69""",Southpaw,28-Oct-80,2.04,0.3,2.1,0.59,2.27,0.46,0.66,0.2
Phil Davis,"6' 2""",205 lbs.,"79""",Orthodox,25-Sep-84,2.85,0.34,1.33,0.72,2.99,0.38,0.72,0.6
Mike Davis,"6' 0""",145 lbs.,"72""",Orthodox,7-Oct-92,6.24,0.53,6.76,0.57,1.39,0.33,0.69,0
Lemont Davis,"5' 8""",170 lbs.,,Orthodox,,0.87,0.54,1.27,0.55,1,0.5,0,1
Justin Davis,"5' 11""",205 lbs.,,,1-Apr-83,0,0,0,0,0,0,0,0
Alexis Davis,"5' 6""",135 lbs.,"68""",Orthodox,4-Oct-84,4.18,0.47,4.18,0.55,0.94,0.4,0.34,0.8
Danny Davis,"6' 2""",170 lbs.,,,28-Jul-82,0,0,0,0,0,0,0,0
Hakeem Dawodu,"5' 8""",145 lbs.,"73""",Orthodox,2-Jul-91,5.15,0.47,2.31,0.63,0,0,0.85,0
Brandon Davis,"5' 10""",135 lbs.,"72""",Orthodox,8-May-90,4.65,0.35,4.33,0.6,0.71,0.45,0.56,0.1
Grant Dawson,"5' 10""",145 lbs.,"72""",Switch,20-Feb-94,3.4,0.48,2.1,0.51,3.44,0.34,0.4,1.6
Jason Day,"6' 0""",185 lbs.,"72""",Orthodox,19-May-81,3.61,0.54,3.46,0.47,1.13,1,0,0
Martin Day,"5' 10""",145 lbs.,"73""",Orthodox,10-Nov-88,3.97,0.45,3.79,0.53,0.72,0.6,0.65,0.5
Angel De Anda,"5' 9""",225 lbs.,,Orthodox,28-May-85,5.68,0.46,6.32,0.47,0,0,0,0
Yorgan De Castro,"6' 0""",250 lbs.,"74""",Orthodox,19-Dec-86,2.61,0.44,3.9,0.55,0,0,0.75,0
Geraldo de Freitas,"5' 7""",135 lbs.,"72""",Orthodox,30-Sep-91,3.67,0.52,2.62,0.5,3,0.45,0.59,0
Philip De Fries,"6' 5""",250 lbs.,"79""",Orthodox,21-Apr-86,2.3,0.47,3,0.37,3.29,0.42,1,0.6
Chris de la Rocha,"6' 3""",250 lbs.,"80""",Orthodox,15-May-79,4.08,0.45,6.37,0.43,2.02,0.3,0.33,1
Montana De La Rosa,"5' 7""",125 lbs.,"68""",Orthodox,14-Feb-95,2.85,0.36,3.39,0.45,2.14,0.28,0.57,1.2
Mark De La Rosa,"5' 6""",135 lbs.,"65""",Orthodox,31-Aug-94,3.13,0.35,5,0.48,0.54,0.13,0.4,0.2
Rodrigo de Lima,"5' 7""",155 lbs.,,Orthodox,12-Mar-91,1.29,0.33,5.5,0.32,2.66,0.36,0,1.3
Mike de la Torre,"5' 11""",145 lbs.,"71""",Orthodox,22-Sep-86,3.21,0.39,4.75,0.51,0.36,0.16,0.83,0
Edilberto de Oliveira,"6' 0""",170 lbs.,,Orthodox,22-Nov-82,4.12,0.32,6.79,0.61,0,0,0,0
Maria De Oliveira Neta,"5' 5""",115 lbs.,,Orthodox,12-Dec-96,2.62,0.42,11.48,0.23,0,0,0,0
Jorge de Oliveira,"5' 8""",155 lbs.,,Orthodox,22-Jan-80,1.26,0.31,4.84,0.48,0,0,0.22,0
Isabela de Padua,"5' 3""",125 lbs.,"64""",Orthodox,4-Sep-91,1,0.35,2.07,0.5,2,0.66,0,1
Germaine de Randamie,"5' 9""",135 lbs.,"71""",Orthodox,24-Apr-84,2.72,0.46,2.14,0.65,0,0,0.69,0.4
Gloria de Paula,"5' 5""",115 lbs.,"67""",Orthodox,10-Jun-95,3.33,0.54,1.2,0.7,0,0,0.71,1
Tom DeBlass,"6' 0""",185 lbs.,,Orthodox,14-May-82,1.5,0.35,4.43,0.37,1,0.5,0.28,0.5
Crezio de Souza,,170 lbs.,,Orthodox,,0,0,0,0,0,0,0,0
Issac DeJesus,,145 lbs.,,,,0,0,0,0,0,0,0,0
Johil de Oliveira,"5' 6""",170 lbs.,,Orthodox,,0.51,0.34,0.73,0.58,1.1,0.5,0.44,0.6
Rafael  Del Real,"5' 11""",225 lbs.,,,,5.58,0.4,0,0,20.93,1,1,0
Humberto DeLeon,,135 lbs.,,,12-Nov-89,0,0,0,0,0,0,0,0
Israel Delgado,"5' 10""",155 lbs.,,,,0,0,0,0,0,0,0,0
Rolando Delgado,"6' 3""",155 lbs.,"77""",Orthodox,22-Nov-81,1.56,0.4,1.83,0.62,1.17,0.22,0,3.5
Ante Delija,"6' 4""",245 lbs.,,Orthodox,7-Aug-90,0,0,0,0,0,0,0,0
Jon Delos Reyes,"5' 6""",125 lbs.,"67""",Orthodox,19-Aug-87,2.99,0.38,4.14,0.51,3.2,0.83,0.55,1.9
Roland Delorme,"5' 9""",135 lbs.,"71""",Orthodox,18-Dec-83,2.28,0.44,4.32,0.4,2.51,0.34,0.42,1.6
Jason DeLucia,"5' 11""",190 lbs.,,Southpaw,24-Jul-69,0,0,0,0,0,0,0,0
Vanessa Demopoulos,"5' 2""",115 lbs.,"59""",Orthodox,22-Sep-88,1.6,0.41,3.13,0.5,0,0,0,2
Nick Denis,"5' 7""",135 lbs.,,Orthodox,11-Oct-83,6.54,0.53,5.42,0.36,2.8,1,0.8,0
Justin DeMoney,,170 lbs.,,,1-Jul-85,0,0,0,0,0,0,0,0
Chris Dempsey,"5' 10""",185 lbs.,"72""",Orthodox,8-Sep-87,2.25,0.32,2.82,0.65,2.64,0.23,0.16,0
Thomas Denny,"5' 10""",170 lbs.,,Orthodox,19-Apr-71,2.36,0.45,4.69,0.4,1.48,0.17,0.42,1.5
Robert Densley,"5' 9""",155 lbs.,,,,1.81,0.47,0.4,0.6,0,0,0.5,0
Shane del Rosario,"6' 4""",250 lbs.,,Southpaw,23-Sep-83,3.93,0.6,2.97,0.54,1.2,0.4,0.16,2.4
Jason Dent,"5' 10""",155 lbs.,"71""",Orthodox,12-Jun-80,2.01,0.39,3.7,0.62,0,0,0.26,1.4
Tony DeSouza,"6' 0""",170 lbs.,"70""",Southpaw,26-Jul-74,1.12,0.52,1.57,0.41,2.25,0.42,0.4,1.5
Booker DeRousse,"6' 2""",205 lbs.,,,23-Mar-81,0,0,0,0,0,0,0,0
Mackenzie Dern,"5' 4""",115 lbs.,"63""",Orthodox,24-Mar-93,3.74,0.38,3.81,0.61,0.28,0.05,0,2.2
Cory Devela,"5' 0""",185 lbs.,,Orthodox,,4.07,0.41,4,0.47,1.07,0.12,0.62,0
Alessio Di Chirico,"6' 0""",185 lbs.,"74""",Orthodox,12-Dec-89,3.3,0.41,3.24,0.62,1.62,0.45,0.83,0
John Devine,,,,,,1.52,0.18,2.28,0.57,0,0,0,0
Micol Di Segni,"5' 3""",115 lbs.,"60""",Orthodox,29-Dec-87,7.47,0.4,5.87,0.33,0,0,0.37,0
Cyrille Diabate,"6' 6""",205 lbs.,"81""",Southpaw,6-Oct-73,4.06,0.71,1.78,0.6,1.17,0.83,0.53,0.2
Edwin DeWees,"6' 1""",185 lbs.,,Orthodox,7-Aug-82,1.53,0.33,6.19,0.39,2.18,0.66,0,3.3
Tyler Diamond,"5' 7""",145 lbs.,"69""",Orthodox,18-Mar-91,3.4,0.47,2.53,0.44,3,0.75,0.7,0
Thomas Diagne,"6' 1""",154 lbs.,,,3-Sep-83,4.53,0.48,4.53,0.63,2,1,0.66,0
Eldo Xavier Dias,"5' 11""",180 lbs.,,,16-Jul-64,0,0,0,0,0,0,0,0
Rafael Dias,"5' 9""",145 lbs.,,Orthodox,20-Oct-79,1.13,0.27,2.19,0.6,3.17,0.47,1,1.2
Marc Diakiese,"5' 10""",155 lbs.,"73""",Orthodox,16-Mar-93,3.08,0.39,2.79,0.54,2.16,0.36,0.62,0
Hacran Dias,"5' 8""",155 lbs.,"69""",Orthodox,16-Jun-84,2.08,0.41,3.31,0.55,2.5,0.39,0.76,0.5
Nick Diaz,"6' 1""",185 lbs.,"76""",Southpaw,2-Aug-83,5.43,0.42,3.56,0.61,1.32,0.33,0.6,1
Nate Diaz,"6' 0""",170 lbs.,"76""",Southpaw,16-Apr-85,4.62,0.45,3.78,0.53,1.19,0.3,0.42,1.4
Adrian Diaz,"5' 10""",145 lbs.,,Southpaw,26-Apr-88,0.48,0.42,3.84,0.51,2.4,0.5,0,0
Mark Dickman,"5' 9""",145 lbs.,,,19-Jul-84,0,0,0,0,0,0,0,0
Michael Diaz,,260 lbs.,,,,0,0,0,0,0,0,0,0
Josh Diekmann,"5' 4""",246 lbs.,,,9-Oct-76,0.28,0.05,8.17,0.25,0,0,0,0
Kyle Dietz,"5' 8""",135 lbs.,,Orthodox,29-Apr-86,1.82,0.45,2.08,0.62,0,0,0,0
Ryan Diaz,,145 lbs.,,,,0,0,0,0,0,0,0,0
Seth Dikun,"5' 10""",135 lbs.,"69""",Orthodox,5-Aug-80,1.45,0.26,2.18,0.55,0,0,0.45,0.9
TJ Dillashaw,"5' 6""",125 lbs.,"67""",Orthodox,7-Feb-86,5.37,0.41,3.03,0.65,1.68,0.37,0.86,1
Matt Dixon,"5' 10""",170 lbs.,"75""",Switch,9-Oct-95,1.97,0.43,4.56,0.37,3.06,0.3,0,0
Rodolfo Marques Diniz,"5' 6""",135 lbs.,,,23-Jan-84,1.08,0.32,2.36,0.33,0,0,0.5,1.8
Ralph Dillon,"6' 2""",205 lbs.,,Orthodox,,0.34,0.14,0.69,0.6,0,0,0,0
Drew Dimanlig,,185 lbs.,,,,3.7,0.73,3.17,0.2,0,0,0,0
Rico DiSciullo,"5' 8""",135 lbs.,,Orthodox,12-Oct-86,1.71,0.33,4.41,0.56,0,0,0,0
Helio Dipp,"6' 5""",185 lbs.,,Orthodox,,0.6,0.25,1.8,0.62,0,0,0.5,0
John Dixson,"6' 0""",275 lbs.,,Orthodox,,0,0,0,0,0,0,0,0
Anthony Do,"5' 4""",125 lbs.,,,,0,0,0,0,0,0,0,0
Russell Doane,"5' 7""",135 lbs.,"70""",Orthodox,13-Aug-86,1.75,0.4,1.68,0.53,2.11,0.45,0.52,0.8
David Dodd,"6' 2""",200 lbs.,,Orthodox,22-Sep-73,0,0,0,0,0,0,0,0
Drew Dober,"5' 8""",155 lbs.,"70""",Southpaw,19-Oct-88,4.33,0.4,3.87,0.54,0.8,0.17,0.55,0.1
Shana Dobson,"5' 6""",125 lbs.,"69""",Orthodox,30-Mar-89,3.34,0.37,5.2,0.5,0.84,0.5,0.14,0
Joe Doerksen,"6' 0""",185 lbs.,"75""",Orthodox,9-Oct-77,1.43,0.42,2.79,0.5,2.02,0.33,0.33,2.3
Mike Dolce,"5' 11""",185 lbs.,,,15-Apr-76,0,0,0,0,0,0,0,0
John Dodson,"5' 3""",135 lbs.,"66""",Orthodox,26-Sep-84,3.2,0.4,3.58,0.61,0.71,0.28,0.82,0
Cameron Dollar,"5' 11""",155 lbs.,,Orthodox,12-May-87,5.04,0.38,2.94,0.61,0,0,0,0
OJ Dominguez,,,,,,0,0,0,0,0,0,0,0
John Donaldson,"5' 8""",145 lbs.,,,9-Jul-92,1.21,0.23,4.22,0.51,0,0,0,0
CB Dollaway,"6' 2""",185 lbs.,"76""",Orthodox,10-Aug-83,2.65,0.47,2.58,0.54,3.55,0.54,0.62,1.2
Dennis Dombrow,,145 lbs.,,,17-Mar-86,0,0,0,0,0,0,0,0
Cody Donovan,"6' 3""",205 lbs.,"74""",Orthodox,20-Feb-81,5.61,0.59,5.44,0.45,1.67,0.28,0,1.7
Houston Dorr,"6' 1""",210 lbs.,,Orthodox,,0,0,0,0,0,0,0,0
Roman Dolidze,"6' 2""",205 lbs.,"76""",Orthodox,15-Jul-88,2.98,0.51,1.75,0.61,1.75,0.5,0.33,2.2
Geronimo dos Santos,"6' 3""",264 lbs.,,Orthodox,17-Aug-80,1.09,0.33,8.73,0.41,0,0,0.33,0
Anderson Dos Santos,"5' 5""",135 lbs.,"70""",Orthodox,24-Jul-85,2.66,0.28,4.8,0.55,1.3,0.18,0.66,0.9
Antonio Dos Santos,"5' 10""",185 lbs.,,Orthodox,21-Jul-88,5.4,0.51,3.94,0.43,0,0,1,0
Oleksandr Doskalchuk,"5' 6""",125 lbs.,,Southpaw,13-Mar-90,0,0,0,0,0,0,0,0
Tiago dos Santos e Silva,"5' 9""",145 lbs.,"70""",Orthodox,12-Apr-87,3.69,0.35,4.23,0.59,0.63,0.11,0.33,0.3
Junior Dos Santos,"6' 4""",238 lbs.,"77""",Orthodox,30-Jan-84,4.49,0.47,3.33,0.56,0.3,0.5,0.81,0.1
Rafael Dos Anjos,"5' 8""",155 lbs.,"70""",Southpaw,26-Oct-84,3.49,0.46,3.22,0.61,1.93,0.37,0.58,0.6
David Douglas,"5' 11""",155 lbs.,,,16-Aug-81,0,0,0,0,0,0,0,0
Jordan Dowdy,,170 lbs.,,,,2.11,0.44,2.63,0.5,0,0,0,0
Damion Douglas,,170 lbs.,,,,0,0,0,0,0,0,0,0
Derek Downey,"6' 1""",185 lbs.,,Orthodox,27-Apr-80,0.32,1,3.36,0.12,2.4,0.16,0,0
John Dowdy,,,,,,0,0,0,0,0,0,0,0
John Doyle,"5' 11""",205 lbs.,,Orthodox,21-Nov-76,3.5,0.44,10.51,0.27,0,0,0,0
Kyle Driscoll,"5' 11""",145 lbs.,"74""",Orthodox,23-Sep-94,2.73,0.32,2.6,0.58,2,0.18,0,0
Edson Drago,"6' 4""",220 lbs.,,Orthodox,29-Aug-77,1.16,0.4,2.39,0.36,0,0,0.55,0
Danny Downes,"6' 0""",155 lbs.,"72""",Orthodox,8-Apr-86,1.66,0.34,3.53,0.37,0,0,0.37,0.5
Chris Drumm,"5' 8""",145 lbs.,,,,0,0,0,0,0,0,0,0
Hugo Duarte,"6' 0""",240 lbs.,,Orthodox,9-Aug-68,0,0,0,0,0,0,0,0
Tomasz Drwal,"6' 1""",205 lbs.,"76""",Orthodox,22-Jan-82,3.29,0.38,2.26,0.57,3.55,0.6,0.82,0.4
Robert Drysdale,"6' 3""",205 lbs.,,Orthodox,5-Oct-81,0,0,0,0,7.32,1,0,21.9
Dricus Du Plessis,"6' 1""",185 lbs.,"76""",Switch,14-Jan-94,7.72,0.44,4.16,0.67,0,0,0,0
Joe Duarte,,155 lbs.,,,25-Jan-77,2.27,0.38,4,0.53,3,0.5,0.69,1
Antonio Duarte,"5' 7""",135 lbs.,,,,4.55,0.4,4.18,0.57,0,0,0.6,0
Norma Dumont,"5' 7""",135 lbs.,"67""",Orthodox,1-Oct-90,5.35,0.55,2.65,0.72,2.43,0.42,1,0
Jessamyn Duke,"5' 11""",135 lbs.,"73""",Orthodox,24-Jun-86,4.83,0.53,4.43,0.57,1.27,0.36,0.5,1.9
Adin Duenas,"5' 6""",145 lbs.,,,2-Jul-88,0,0,0,0,0,0,0,0
Joe Duffy,"5' 10""",155 lbs.,"73""",Orthodox,18-Feb-88,2.68,0.34,3.78,0.54,0.96,0.66,0.64,0.7
Milana Dudieva,"5' 3""",135 lbs.,,Orthodox,4-Aug-89,0.87,0.31,3.43,0.58,2.34,0.45,0,0
Todd Duffee,"6' 3""",260 lbs.,"78""",Orthodox,6-Dec-85,5.93,0.37,2.87,0.56,0.72,0.25,0.9,0
Alexis Dufresne,"5' 9""",135 lbs.,,Orthodox,31-Aug-90,1.33,0.27,3.33,0.6,1.5,0.5,0.5,0
Kelly Dullanty,"5' 8""",155 lbs.,,Orthodox,4-Nov-77,0,0,0.67,0.75,0,0,0.66,0
Alex Dunworth,"5' 8""",155 lbs.,,,,1.94,0.31,8.71,0.35,0,0,0.5,0
Cody Durden,"5' 7""",125 lbs.,"67""",Southpaw,29-Mar-91,3.11,0.48,3.93,0.41,3.28,0.26,0.5,0.8
Luiz Dutra,"5' 11""",170 lbs.,,Orthodox,6-May-82,3.92,0.5,4.8,0.41,0,0,1,0
Reuben Duran,"5' 7""",135 lbs.,"71""",Orthodox,2-Jul-83,3.19,0.49,2.61,0.5,0.98,0.23,0.25,0.7
Rilley Dutro,"5' 8""",125 lbs.,,Orthodox,3-Sep-87,4.74,0.54,5.95,0.33,0,0,0.83,0
Tom Duquesnoy,"5' 7""",135 lbs.,"68""",Orthodox,21-Jun-93,3.83,0.45,5.3,0.62,0.42,0.25,0.46,0
Evan Dunham,"5' 10""",155 lbs.,"70""",Southpaw,18-Dec-81,5.33,0.39,3.54,0.61,1.82,0.33,0.79,1
