name,height,weight,reach,stance,DOB,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg
Estefani Almeida,"5' 4""",125 lbs.,,Orthodox,17-Oct-88,3.13,0.37,6.07,0.42,0,0,0,0
Sarah Alpar,"5' 4""",135 lbs.,"63""",Southpaw,1-Jun-91,2.11,0.54,4.76,0.32,2.69,0.28,0.5,0.7
Rico Altamirano,"5' 10""",170 lbs.,,,,0,0,0,0,0,0,0,0
Ali AlQaisi,"5' 6""",135 lbs.,"68""",Orthodox,23-Sep-90,2.43,0.42,1.97,0.56,3.5,0.29,0.6,1
Mike Altman,"5' 10""",185 lbs.,,Orthodox,,1.56,0.2,2.08,0.75,0,0,0,0
Sean Alvarez,"6' 0""",235 lbs.,,Orthodox,14-Jul-71,0.89,0.37,3.25,0.47,0,0,0,0
Jaime Alvarez,"5' 8""",125 lbs.,"69""",Orthodox,8-Mar-88,2.73,0.4,4.53,0.56,1,0.33,0.5,0
Joel Alvarez,"6' 3""",155 lbs.,"77""",Orthodox,2-Mar-94,2.84,0.37,3.31,0.53,0,0,0,1.6
Eddie Alvarez,"5' 9""",155 lbs.,"69""",Orthodox,11-Jan-84,4.32,0.41,4.39,0.55,2.92,0.36,0.92,0.5
Anthony Alves,,,,,,0,0,0,0,0,0,0,0
Amilcar Alves,"6' 0""",170 lbs.,,Southpaw,8-Aug-88,0.5,0.46,2.02,0.3,0,0,0.53,0
Thiago Alves,"5' 9""",170 lbs.,"70""",Orthodox,3-Oct-83,3.73,0.41,3.42,0.62,0.71,0.6,0.63,0.3
Rafael Alves,"5' 8""",145 lbs.,"68""",Orthodox,10-Oct-90,2.02,0.45,3.66,0.59,0,0,1,1.9
Warlley Alves,"5' 11""",170 lbs.,"72""",Orthodox,4-Jan-91,3.09,0.47,3.62,0.5,1.48,0.54,0.75,1
Andre Amado,"6' 0""",154 lbs.,,Orthodox,,2.27,0.24,5.91,0.63,0,0,0.2,0
Maiara Amanajas dos Santos,"5' 5""",115 lbs.,,Southpaw,11-Jul-87,5.53,0.35,24.47,0.33,0,0,1,0
Adlan Amagov,"6' 2""",170 lbs.,"76""",Orthodox,30-Oct-86,3.29,0.47,0.82,0.78,5.84,0.56,1,0
Sam Alvey,"6' 2""",205 lbs.,"75""",Southpaw,6-May-86,3.17,0.44,3.26,0.55,0.08,0.16,0.82,0.1
Jimmy Ambriz,"6' 2""",315 lbs.,,Southpaw,26-Jan-70,0.83,0.29,3.76,0.4,3.13,0.57,1,0.8
Chris Amarante,,185 lbs.,,,,0,0,0,0,0,0,0,0
JJ Ambrose,"5' 10""",170 lbs.,,Orthodox,,3.16,0.69,6.32,0.33,0,0,0.5,0
Alen Amedovski,"5' 10""",185 lbs.,"74""",Orthodox,6-Apr-88,0.52,0.28,3.14,0.37,0,0,0,0
Makwan Amirkhani,"5' 10""",145 lbs.,"72""",Southpaw,8-Nov-88,1.42,0.44,2.63,0.51,3.37,0.37,0.57,1.4
Bertrand Amoussou,"5' 8""",190 lbs.,,Orthodox,,6.75,0.39,2.01,0.83,0,0,0,0
Eryk Anders,"6' 1""",185 lbs.,"75""",Southpaw,21-Apr-87,3.23,0.46,4.15,0.51,1.62,0.35,0.8,0.1
Andy Anderson,"5' 6""",240 lbs.,,,16-Jul-74,0,0,0,0,0,0,0,0
Karl Amoussou,"5' 11""",185 lbs.,,Orthodox,21-Nov-85,1.47,0.34,2.67,0.54,0,0,0.25,1
